Date,PR,GHI
2021-06-01,68.87633524,4.195066667
2021-06-02,62.88708413,4.877116667
2021-06-05,79.08599954,5.0684
2021-06-06,72.1702366,3.99225
2021-06-07,79.88007224,5.365591667
2021-06-08,77.29574387,2.611183333
2021-06-09,60.64390862,5.204808333
2021-06-10,66.23325834,3.592533333
2021-06-11,80.90123037,5.396108333
2021-06-12,60.59910905,4.161741667
2021-06-13,72.39693681,5.448483333
2021-06-14,78.76041599,5.926033333
2021-06-15,60.32529965,3.932033333
2021-06-16,70.7694985,4.729975
2021-06-17,66.66965168,6.520441667
2021-06-18,74.27436761,6.123708333
2021-06-19,81.68971449,5.056091667
2021-06-20,80.63315423,5.725175
2021-06-21,74.72682588,4.051708333
2021-06-22,65.53509604,4.164675
2021-06-23,70.72157983,4.859341667
2021-06-24,64.21049448,5.739525
2021-06-25,68.06328707,5.90975
2021-06-26,83.84207408,6.281358333
2021-06-27,82.47158407,5.852325
2021-06-28,77.20580226,5.981325
2021-06-29,81.55935567,5.256925
2021-06-30,77.20331671,3.089816667
2021-07-01,84.7699836,6.332116667
2021-07-02,63.20853215,6.18565
2021-07-03,78.35262338,5.4784
2021-07-04,84.09817081,3.296966667
2021-07-05,72.89388546,3.667841667
2021-07-06,76.38979995,2.852183333
2021-07-07,81.77536229,2.717125
2021-07-08,67.87960601,3.595508333
2021-07-09,64.09475269,4.808441667
2021-07-10,62.04101834,5.292016667
2021-07-11,83.8501172,5.98765
2021-07-12,66.35927925,4.842283333
2021-07-13,71.21065978,4.506258333
2021-07-14,72.01887248,3.985116667
2021-07-15,71.57437185,3.222533333
2021-07-16,83.44409415,5.855191667
2021-07-17,66.02987703,6.5543
2021-07-18,63.93345641,3.73
2021-07-19,67.30536284,4.535691667
2021-07-20,80.84051944,5.722691667
2021-07-21,82.68233834,3.865775
2021-07-22,79.77389156,4.174416667
2021-07-23,81.97642408,2.655541667
2021-07-24,73.75992663,5.254816667
2021-07-25,75.3427307,4.542575
2021-07-26,79.79306328,5.688958333
2021-07-27,77.20349712,5.361808333
2021-07-28,67.81317142,2.928783333
2021-07-29,80.48844149,4.2413
2021-07-30,70.92533959,5.188091667
2021-07-31,62.05911381,5.100383333
